repeat,fold,subject_id
0,0,303
0,0,306
0,0,309
0,0,319
0,0,320
0,0,321
0,0,328
0,0,345
0,0,349
0,0,350
0,0,351
0,0,365
0,0,370
0,0,371
0,0,375
0,0,377
0,0,379
0,0,380
0,0,389
0,0,400
0,0,403
0,0,404
0,0,412
0,0,416
0,0,417
0,0,420
0,0,424
0,0,425
0,0,433
0,0,440
0,0,441
0,0,443
0,0,446
0,0,450
0,0,451
0,0,471
0,0,472
0,0,485
0,1,300
0,1,305
0,1,317
0,1,323
0,1,329
0,1,330
0,1,341
0,1,344
0,1,355
0,1,356
0,1,360
0,1,363
0,1,366
0,1,382
0,1,384
0,1,391
0,1,399
0,1,407
0,1,409
0,1,410
0,1,418
0,1,432
0,1,436
0,1,438
0,1,439
0,1,447
0,1,453
0,1,456
0,1,457
0,1,465
0,1,477
0,1,478
0,1,481
0,1,486
0,1,488
0,1,490
0,1,491
0,1,492
0,2,301
0,2,302
0,2,307
0,2,312
0,2,316
0,2,322
0,2,326
0,2,332
0,2,336
0,2,348
0,2,352
0,2,357
0,2,359
0,2,362
0,2,367
0,2,369
0,2,386
0,2,387
0,2,388
0,2,395
0,2,402
0,2,406
0,2,411
0,2,413
0,2,414
0,2,415
0,2,421
0,2,423
0,2,430
0,2,434
0,2,448
0,2,452
0,2,461
0,2,464
0,2,469
0,2,473
0,2,480
0,2,489
0,3,304
0,3,308
0,3,310
0,3,311
0,3,315
0,3,318
0,3,335
0,3,338
0,3,340
0,3,343
0,3,346
0,3,347
0,3,353
0,3,354
0,3,358
0,3,372
0,3,376
0,3,381
0,3,383
0,3,393
0,3,396
0,3,397
0,3,405
0,3,419
0,3,426
0,3,429
0,3,431
0,3,435
0,3,437
0,3,445
0,3,458
0,3,463
0,3,467
0,3,475
0,3,476
0,3,479
0,3,482
0,3,487
0,4,313
0,4,314
0,4,324
0,4,325
0,4,327
0,4,331
0,4,333
0,4,334
0,4,337
0,4,339
0,4,361
0,4,364
0,4,368
0,4,373
0,4,374
0,4,378
0,4,385
0,4,390
0,4,392
0,4,401
0,4,408
0,4,422
0,4,427
0,4,428
0,4,442
0,4,444
0,4,449
0,4,454
0,4,455
0,4,459
0,4,462
0,4,466
0,4,468
0,4,470
0,4,474
0,4,483
0,4,484
1,0,305
1,0,309
1,0,312
1,0,320
1,0,322
1,0,323
1,0,332
1,0,333
1,0,335
1,0,339
1,0,344
1,0,345
1,0,351
1,0,360
1,0,364
1,0,373
1,0,382
1,0,385
1,0,392
1,0,406
1,0,410
1,0,411
1,0,417
1,0,424
1,0,434
1,0,436
1,0,444
1,0,452
1,0,463
1,0,465
1,0,479
1,0,480
1,0,482
1,0,483
